CampaignName,ReportName,Platform,aircraftID,takeoffdatetime,zone
2010_AK_UAF,OIB_AK_20100823191800_UAF_Report.txt,DHC-3,N226UT,2010-08-23T19:18:00,UTC
2010_AN_NASA,OIB_AN_20101110120242_NASA_Report.txt,DC-8,N817NA,2010-11-10T12:02:42,UTC
2010_AN_NASA,OIB_AN_20101104120042_NASA_Report.txt,DC-8,N817NA,2010-11-04T12:00:42,UTC
2010_AN_NASA,OIB_AN_20101019131656_NASA_Report.txt,DC-8,N817NA,2010-10-19T13:16:56,UTC
2010_AN_NASA,OIB_AN_20101026120347_NASA_Report.txt,DC-8,N817NA,2010-10-26T12:03:47,UTC
2010_AN_NASA,OIB_AN_20101113122409_NASA_Report.txt,DC-8,N817NA,2010-11-13T12:24:09,UTC
2010_AN_NASA,OIB_AN_20101028140132_NASA_Report.txt,DC-8,N817NA,2010-10-28T12:03:47,UTC
2010_AN_NASA,OIB_AN_20101105130400_NASA_Report.txt,DC-8,N817NA,2010-11-05T13:04:00,UTC
2010_AN_NASA,OIB_AN_20101106130744_NASA_Report.txt,DC-8,N817NA,2010-11-06T13:07:44,UTC
2010_AN_NASA,OIB_AN_20101030120607_NASA_Report.txt,DC-8,N817NA,2010-10-30T12:06:07,UTC
2010_AN_NASA,OIB_AN_20101119174233_NASA_Report.txt,DC-8,N817NA,2010-11-19T17:42:33,UTC
2010_AN_NASA,OIB_AN_20101120150132_NASA_Report.txt,DC-8,N817NA,2010-11-20T15:01:32,UTC
2010_AN_UTIG,OIB_AN_20110125060655_UTIG_Report.txt,BT-67,C-GJKB,2011-01-25T06:06:55,UTC
2010_AN_UTIG,OIB_AN_20101117223810_UTIG_Report.txt,BT-67,C-GJKB,2010-11-17T22:38:10,UTC
2010_AN_UTIG,OIB_AN_20101213010641_UTIG_Report.txt,BT-67,C-GJKB,2010-12-13T01:06:41,UTC
2010_AN_UTIG,OIB_AN_20110122051404_UTIG_Report.txt,BT-67,C-GJKB,2011-01-22T05:14:04,UTC
2010_AN_UTIG,OIB_AN_20110108052026_UTIG_Report.txt,BT-67,C-GJKB,2011-01-08T05:20:26,UTC
2010_AN_UTIG,OIB_AN_20101226051216_UTIG_Report.txt,BT-67,C-GJKB,2010-12-26T05:12:16,UTC
2010_AN_UTIG,OIB_AN_20101209222637_UTIG_Report.txt,BT-67,C-GJKB,2010-12-09T22:26:37,UTC
2010_AN_UTIG,OIB_AN_20110119051837_UTIG_Report.txt,BT-67,C-GJKB,2011-01-19T05:18:37,UTC
2010_AN_UTIG,OIB_AN_20110124044044_UTIG_Report.txt,BT-67,C-GJKB,2011-01-24T04:40:44,UTC
2010_AN_UTIG,OIB_AN_20101206230705_UTIG_Report.txt,BT-67,C-GJKB,2010-12-06T23:07:05,UTC
2010_AN_UTIG,OIB_AN_20101118084608_UTIG_Report.txt,BT-67,C-GJKB,2010-11-18T08:46:08,UTC
2010_AN_UTIG,OIB_AN_20101230051216_UTIG_Report.txt,BT-67,C-GJKB,2010-12-30T05:12:16,UTC
2010_AN_UTIG,OIB_AN_20110104050745_UTIG_Report.txt,BT-67,C-GJKB,2011-01-04T05:07:45,UTC
2010_AN_UTIG,OIB_AN_20110123051804_UTIG_Report.txt,BT-67,C-GJKB,2011-01-23T05:18:04,UTC
