Date, Dem_Tarball, Ortho_Tarball, Camera_Tarball, Summary_Tarball, Have_Dem_Previews, Have_Ortho_Previews
20170413, /u/smcmich1/icebridge/oleg_dems/DEM_GR_20170413_V20180403.tar, /u/smcmich1/icebridge/oleg_ortho/ORTHO_GR_20170413_V20180403.tar, /u/smcmich1/icebridge/oleg_cameras/CAMERA_GR_20170413_V20180403.tar, /u/smcmich1/icebridge/oleg_summaries/SUMMARY_GR_20170413_V20180403.tar, True, True
20170414, /u/smcmich1/icebridge/oleg_dems/DEM_GR_20170414_V20180328.tar, /u/smcmich1/icebridge/oleg_ortho/ORTHO_GR_20170414_V20180328.tar, /u/smcmich1/icebridge/oleg_cameras/CAMERA_GR_20170414_V20180328.tar, /u/smcmich1/icebridge/oleg_summaries/SUMMARY_GR_20170414_V20180328.tar, True, True
20170417, /u/smcmich1/icebridge/oleg_dems/DEM_GR_20170417_V20180402.tar, /u/smcmich1/icebridge/oleg_ortho/ORTHO_GR_20170417_V20180402.tar, /u/smcmich1/icebridge/oleg_cameras/CAMERA_GR_20170417_V20180402.tar, /u/smcmich1/icebridge/oleg_summaries/SUMMARY_GR_20170417_V20180402.tar, True, True
20170419, /u/smcmich1/icebridge/oleg_dems/DEM_GR_20170419_V20180403.tar, /u/smcmich1/icebridge/oleg_ortho/ORTHO_GR_20170419_V20180403.tar, /u/smcmich1/icebridge/oleg_cameras/CAMERA_GR_20170419_V20180403.tar, /u/smcmich1/icebridge/oleg_summaries/SUMMARY_GR_20170419_V20180403.tar, True, True
20170421, /u/smcmich1/icebridge/oleg_dems/DEM_GR_20170421_V20180404.tar, /u/smcmich1/icebridge/oleg_ortho/ORTHO_GR_20170421_V20180404.tar, /u/smcmich1/icebridge/oleg_cameras/CAMERA_GR_20170421_V20180404.tar, /u/smcmich1/icebridge/oleg_summaries/SUMMARY_GR_20170421_V20180404.tar, True, True
20170424, /u/smcmich1/icebridge/oleg_dems/DEM_GR_20170424_V20180404.tar, /u/smcmich1/icebridge/oleg_ortho/ORTHO_GR_20170424_V20180404.tar, /u/smcmich1/icebridge/oleg_cameras/CAMERA_GR_20170424_V20180404.tar, /u/smcmich1/icebridge/oleg_summaries/SUMMARY_GR_20170424_V20180404.tar, True, True
20170426, /u/smcmich1/icebridge/oleg_dems/DEM_GR_20170426_V20180403.tar, /u/smcmich1/icebridge/oleg_ortho/ORTHO_GR_20170426_V20180403.tar, /u/smcmich1/icebridge/oleg_cameras/CAMERA_GR_20170426_V20180403.tar, /u/smcmich1/icebridge/oleg_summaries/SUMMARY_GR_20170426_V20180403.tar, True, True
20170422, /u/smcmich1/icebridge/oleg_dems/DEM_GR_20170422_V20180404.tar, /u/smcmich1/icebridge/oleg_ortho/ORTHO_GR_20170422_V20180404.tar, /u/smcmich1/icebridge/oleg_cameras/CAMERA_GR_20170422_V20180404.tar, /u/smcmich1/icebridge/oleg_summaries/SUMMARY_GR_20170422_V20180404.tar, True, True
20170428, /u/smcmich1/icebridge/oleg_dems/DEM_GR_20170428_V20180404.tar, /u/smcmich1/icebridge/oleg_ortho/ORTHO_GR_20170428_V20180404.tar, /u/smcmich1/icebridge/oleg_cameras/CAMERA_GR_20170428_V20180404.tar, /u/smcmich1/icebridge/oleg_summaries/SUMMARY_GR_20170428_V20180404.tar, True, True
20170429, /u/smcmich1/icebridge/oleg_dems/DEM_GR_20170429_V20180406.tar, /u/smcmich1/icebridge/oleg_ortho/ORTHO_GR_20170429_V20180406.tar, /u/smcmich1/icebridge/oleg_cameras/CAMERA_GR_20170429_V20180406.tar, /u/smcmich1/icebridge/oleg_summaries/SUMMARY_GR_20170429_V20180406.tar, True, True
20170501, /u/smcmich1/icebridge/oleg_dems/DEM_GR_20170501_V20180406.tar, /u/smcmich1/icebridge/oleg_ortho/ORTHO_GR_20170501_V20180406.tar, /u/smcmich1/icebridge/oleg_cameras/CAMERA_GR_20170501_V20180406.tar, /u/smcmich1/icebridge/oleg_summaries/SUMMARY_GR_20170501_V20180406.tar, True, True
20170502, /u/smcmich1/icebridge/oleg_dems/DEM_GR_20170502_V20180404.tar, /u/smcmich1/icebridge/oleg_ortho/ORTHO_GR_20170502_V20180404.tar, /u/smcmich1/icebridge/oleg_cameras/CAMERA_GR_20170502_V20180404.tar, /u/smcmich1/icebridge/oleg_summaries/SUMMARY_GR_20170502_V20180404.tar, True, True
20170503, /u/smcmich1/icebridge/oleg_dems/DEM_GR_20170503_V20180404.tar, /u/smcmich1/icebridge/oleg_ortho/ORTHO_GR_20170503_V20180404.tar, /u/smcmich1/icebridge/oleg_cameras/CAMERA_GR_20170503_V20180404.tar, /u/smcmich1/icebridge/oleg_summaries/SUMMARY_GR_20170503_V20180404.tar, True, True
20170506, /u/smcmich1/icebridge/oleg_dems/DEM_GR_20170506_V20180405.tar, /u/smcmich1/icebridge/oleg_ortho/ORTHO_GR_20170506_V20180405.tar, /u/smcmich1/icebridge/oleg_cameras/CAMERA_GR_20170506_V20180405.tar, /u/smcmich1/icebridge/oleg_summaries/SUMMARY_GR_20170506_V20180405.tar, True, True
20170508, /u/smcmich1/icebridge/oleg_dems/DEM_GR_20170508_V20180410.tar, /u/smcmich1/icebridge/oleg_ortho/ORTHO_GR_20170508_V20180410.tar, /u/smcmich1/icebridge/oleg_cameras/CAMERA_GR_20170508_V20180410.tar, /u/smcmich1/icebridge/oleg_summaries/SUMMARY_GR_20170508_V20180410.tar, True, True
20170510, /u/smcmich1/icebridge/oleg_dems/DEM_GR_20170510_V20180410.tar, /u/smcmich1/icebridge/oleg_ortho/ORTHO_GR_20170510_V20180410.tar, /u/smcmich1/icebridge/oleg_cameras/CAMERA_GR_20170510_V20180410.tar, /u/smcmich1/icebridge/oleg_summaries/SUMMARY_GR_20170510_V20180410.tar, True, True
20170512, /u/smcmich1/icebridge/oleg_dems/DEM_GR_20170512_V20180407.tar, /u/smcmich1/icebridge/oleg_ortho/ORTHO_GR_20170512_V20180407.tar, /u/smcmich1/icebridge/oleg_cameras/CAMERA_GR_20170512_V20180407.tar, /u/smcmich1/icebridge/oleg_summaries/SUMMARY_GR_20170512_V20180407.tar, True, True
20170719, /u/smcmich1/icebridge/oleg_dems/DEM_GR_20170719_V20180329.tar, /u/smcmich1/icebridge/oleg_ortho/ORTHO_GR_20170719_V20180329.tar, /u/smcmich1/icebridge/oleg_cameras/CAMERA_GR_20170719_V20180329.tar, /u/smcmich1/icebridge/oleg_summaries/SUMMARY_GR_20170719_V20180329.tar, True, True
20170511, /u/smcmich1/icebridge/oleg_dems/DEM_GR_20170511_V20180406.tar, /u/smcmich1/icebridge/oleg_ortho/ORTHO_GR_20170511_V20180406.tar, /u/smcmich1/icebridge/oleg_cameras/CAMERA_GR_20170511_V20180406.tar, /u/smcmich1/icebridge/oleg_summaries/SUMMARY_GR_20170511_V20180406.tar, True, True
20160509, /u/smcmich1/icebridge/oleg_dems/DEM_GR_20160509_V20180220.tar, /u/smcmich1/icebridge/oleg_ortho/ORTHO_GR_20160509_V20180220.tar, /u/smcmich1/icebridge/oleg_cameras/CAMERA_GR_20160509_V20180220.tar, /u/smcmich1/icebridge/oleg_summaries/SUMMARY_GR_20160509_V20180220.tar, True, True
20160511, /u/smcmich1/icebridge/oleg_dems/DEM_GR_20160511_V20180409.tar, /u/smcmich1/icebridge/oleg_ortho/ORTHO_GR_20160511_V20180409.tar, /u/smcmich1/icebridge/oleg_cameras/CAMERA_GR_20160511_V20180409.tar, /u/smcmich1/icebridge/oleg_summaries/SUMMARY_GR_20160511_V20180409.tar, True, True
20160510, /u/smcmich1/icebridge/oleg_dems/DEM_GR_20160510_V20180409.tar, /u/smcmich1/icebridge/oleg_ortho/ORTHO_GR_20160510_V20180409.tar, /u/smcmich1/icebridge/oleg_cameras/CAMERA_GR_20160510_V20180409.tar, /u/smcmich1/icebridge/oleg_summaries/SUMMARY_GR_20160510_V20180409.tar, True, True
20160513, /u/smcmich1/icebridge/oleg_dems/DEM_GR_20160513_V20180222.tar, /u/smcmich1/icebridge/oleg_ortho/ORTHO_GR_20160513_V20180222.tar, /u/smcmich1/icebridge/oleg_cameras/CAMERA_GR_20160513_V20180222.tar, /u/smcmich1/icebridge/oleg_summaries/SUMMARY_GR_20160513_V20180222.tar, True, True
20160514, /u/smcmich1/icebridge/output/DEM_GR_20160514_V20180405.tar, /u/smcmich1/icebridge/ortho/ORTHO_GR_20160514_V20180405.tar, /u/smcmich1/icebridge/camera/CAMERA_GR_20160514_V20180405.tar, /u/smcmich1/icebridge/summaries/SUMMARY_GR_20160514_V20180405.tar, True, True
20160512, /u/smcmich1/icebridge/output/DEM_GR_20160512_V20180408.tar, /u/smcmich1/icebridge/ortho/ORTHO_GR_20160512_V20180408.tar, /u/smcmich1/icebridge/camera/CAMERA_GR_20160512_V20180408.tar, /u/smcmich1/icebridge/summaries/SUMMARY_GR_20160512_V20180408.tar, True, True
20160516, /u/smcmich1/icebridge/output/DEM_GR_20160516_V20180407.tar, /u/smcmich1/icebridge/ortho/ORTHO_GR_20160516_V20180407.tar, /u/smcmich1/icebridge/camera/CAMERA_GR_20160516_V20180407.tar, /u/smcmich1/icebridge/summaries/SUMMARY_GR_20160516_V20180407.tar, True, True
20160517, /u/smcmich1/icebridge/output/DEM_GR_20160517_V20180408.tar, /u/smcmich1/icebridge/ortho/ORTHO_GR_20160517_V20180408.tar, /u/smcmich1/icebridge/camera/CAMERA_GR_20160517_V20180408.tar, /u/smcmich1/icebridge/summaries/SUMMARY_GR_20160517_V20180408.tar, True, True
20160518, /u/smcmich1/icebridge/output/DEM_GR_20160518_V20180411.tar, /u/smcmich1/icebridge/ortho/ORTHO_GR_20160518_V20180411.tar, /u/smcmich1/icebridge/camera/CAMERA_GR_20160518_V20180411.tar, /u/smcmich1/icebridge/summaries/SUMMARY_GR_20160518_V20180411.tar, True, True
20160519, /u/smcmich1/icebridge/output/DEM_GR_20160519_V20180409.tar, /u/smcmich1/icebridge/ortho/ORTHO_GR_20160519_V20180409.tar, /u/smcmich1/icebridge/camera/CAMERA_GR_20160519_V20180409.tar, /u/smcmich1/icebridge/summaries/SUMMARY_GR_20160519_V20180409.tar, True, True
20160713, /u/smcmich1/icebridge/output/DEM_GR_20160713_V20171214.tar, /u/smcmich1/icebridge/ortho/ORTHO_GR_20160713_V20171214.tar, /u/smcmich1/icebridge/camera/CAMERA_GR_20160713_V20171214.tar, /u/smcmich1/icebridge/summaries/SUMMARY_GR_20160713_V20171214.tar, True, True
20160714, /u/smcmich1/icebridge/output/DEM_GR_20160714_V20171209.tar, /u/smcmich1/icebridge/ortho/ORTHO_GR_20160714_V20171209.tar, /u/smcmich1/icebridge/camera/CAMERA_GR_20160714_V20171209.tar, /u/smcmich1/icebridge/summaries/SUMMARY_GR_20160714_V20171209.tar, True, True
20160720, /u/smcmich1/icebridge/oleg_dems/DEM_GR_20160720_V20180221.tar, /u/smcmich1/icebridge/oleg_ortho/ORTHO_GR_20160720_V20180221.tar, /u/smcmich1/icebridge/oleg_cameras/CAMERA_GR_20160720_V20180221.tar, /u/smcmich1/icebridge/oleg_summaries/SUMMARY_GR_20160720_V20180221.tar, True, True
20161014, /u/smcmich1/icebridge/output/DEM_AN_20161014_V20180316.tar, /u/smcmich1/icebridge/ortho/ORTHO_AN_20161014_V20180316.tar, /u/smcmich1/icebridge/camera/CAMERA_AN_20161014_V20180316.tar, /u/smcmich1/icebridge/summaries/SUMMARY_AN_20161014_V20180316.tar, True, True
20161015, /u/smcmich1/icebridge/oleg_dems/DEM_AN_20161015_V20180221.tar, /u/smcmich1/icebridge/oleg_ortho/ORTHO_AN_20161015_V20180221.tar, /u/smcmich1/icebridge/oleg_cameras/CAMERA_AN_20161015_V20180221.tar, /u/smcmich1/icebridge/oleg_summaries/SUMMARY_AN_20161015_V20180221.tar, True, True
20161017, /u/smcmich1/icebridge/oleg_dems/DEM_AN_20161017_V20171124.tar, /u/smcmich1/icebridge/oleg_ortho/ORTHO_AN_20161017_V20171124.tar, /u/smcmich1/icebridge/oleg_cameras/CAMERA_AN_20161017_V20171124.tar, /u/smcmich1/icebridge/oleg_summaries/SUMMARY_AN_20161017_V20171124.tar, True, True
20161020, /u/smcmich1/icebridge/output/DEM_AN_20161020_V20180318.tar, /u/smcmich1/icebridge/ortho/ORTHO_AN_20161020_V20180318.tar, /u/smcmich1/icebridge/camera/CAMERA_AN_20161020_V20180318.tar, /u/smcmich1/icebridge/summaries/SUMMARY_AN_20161020_V20180318.tar, True, True
20161022, /u/smcmich1/icebridge/oleg_dems/DEM_AN_20161022_V20180410.tar, /u/smcmich1/icebridge/oleg_ortho/ORTHO_AN_20161022_V20180410.tar, /u/smcmich1/icebridge/oleg_cameras/CAMERA_AN_20161022_V20180410.tar, /u/smcmich1/icebridge/oleg_summaries/SUMMARY_AN_20161022_V20180410.tar, True, True
20161024, /u/smcmich1/icebridge/output/DEM_AN_20161024_V20180318.tar, /u/smcmich1/icebridge/ortho/ORTHO_AN_20161024_V20180318.tar, /u/smcmich1/icebridge/oleg_cameras/CAMERA_AN_20161024_V20180410.tar, /u/smcmich1/icebridge/summaries/SUMMARY_AN_20161024_V20180318.tar, True, True
20161025, /u/smcmich1/icebridge/output/DEM_AN_20161025_V20180318.tar, /u/smcmich1/icebridge/ortho/ORTHO_AN_20161025_V20180318.tar, /u/smcmich1/icebridge/camera/CAMERA_AN_20161025_V20180318.tar, /u/smcmich1/icebridge/summaries/SUMMARY_AN_20161025_V20180318.tar, True, True
20161026, /u/smcmich1/icebridge/output/DEM_AN_20161026_V20180319.tar, /u/smcmich1/icebridge/ortho/ORTHO_AN_20161026_V20180319.tar, /u/smcmich1/icebridge/camera/CAMERA_AN_20161026_V20180319.tar, /u/smcmich1/icebridge/summaries/SUMMARY_AN_20161026_V20180319.tar, True, True
20161027, /u/smcmich1/icebridge/oleg_dems/DEM_AN_20161027_V20171125.tar, /u/smcmich1/icebridge/oleg_ortho/ORTHO_AN_20161027_V20171125.tar, /u/smcmich1/icebridge/oleg_cameras/CAMERA_AN_20161027_V20171125.tar, /u/smcmich1/icebridge/oleg_summaries/SUMMARY_AN_20161027_V20171125.tar, True, True
20161031, /u/smcmich1/icebridge/oleg_dems/DEM_AN_20161031_V20180317.tar, /u/smcmich1/icebridge/oleg_ortho/ORTHO_AN_20161031_V20180317.tar, /u/smcmich1/icebridge/oleg_cameras/CAMERA_AN_20161031_V20180317.tar, /u/smcmich1/icebridge/oleg_summaries/SUMMARY_AN_20161031_V20180317.tar, True, True
20161102, /u/smcmich1/icebridge/oleg_dems/DEM_AN_20161102_V20180317.tar, /u/smcmich1/icebridge/oleg_ortho/ORTHO_AN_20161102_V20180317.tar, /u/smcmich1/icebridge/oleg_cameras/CAMERA_AN_20161102_V20180317.tar, /u/smcmich1/icebridge/oleg_summaries/SUMMARY_AN_20161102_V20180317.tar, True, True
20161103, /u/smcmich1/icebridge/oleg_dems/DEM_AN_20161103_V20180317.tar, /u/smcmich1/icebridge/oleg_ortho/ORTHO_AN_20161103_V20180317.tar, /u/smcmich1/icebridge/oleg_cameras/CAMERA_AN_20161103_V20180317.tar, /u/smcmich1/icebridge/oleg_summaries/SUMMARY_AN_20161103_V20180317.tar, True, True
20161104, /u/smcmich1/icebridge/oleg_dems/DEM_AN_20161104_V20180201.tar, /u/smcmich1/icebridge/oleg_ortho/ORTHO_AN_20161104_V20180201.tar, /u/smcmich1/icebridge/oleg_cameras/CAMERA_AN_20161104_V20180201.tar, /u/smcmich1/icebridge/oleg_summaries/SUMMARY_AN_20161104_V20180201.tar, True, True
20161105, /u/smcmich1/icebridge/output/DEM_AN_20161105_V20180301.tar, /u/smcmich1/icebridge/ortho/ORTHO_AN_20161105_V20180301.tar, /u/smcmich1/icebridge/camera/CAMERA_AN_20161105_V20180301.tar, /u/smcmich1/icebridge/summaries/SUMMARY_AN_20161105_V20180301.tar, True, True
20161109, /u/smcmich1/icebridge/oleg_dems/DEM_AN_20161109_V20180313.tar, /u/smcmich1/icebridge/oleg_ortho/ORTHO_AN_20161109_V20180313.tar, /u/smcmich1/icebridge/oleg_cameras/CAMERA_AN_20161109_V20180313.tar, /u/smcmich1/icebridge/oleg_summaries/SUMMARY_AN_20161109_V20180313.tar, True, True
20161110, /u/smcmich1/icebridge/oleg_dems/DEM_AN_20161110_V20180410.tar, /u/smcmich1/icebridge/oleg_ortho/ORTHO_AN_20161110_V20180410.tar, /u/smcmich1/icebridge/oleg_cameras/CAMERA_AN_20161110_V20180410.tar, /u/smcmich1/icebridge/oleg_summaries/SUMMARY_AN_20161110_V20180410.tar, True, True
20161111, /u/smcmich1/icebridge/output/DEM_AN_20161111_V20180322.tar, /u/smcmich1/icebridge/ortho/ORTHO_AN_20161111_V20180322.tar, /u/smcmich1/icebridge/camera/CAMERA_AN_20161111_V20180322.tar, /u/smcmich1/icebridge/summaries/SUMMARY_AN_20161111_V20180322.tar, True, True
20161112, /u/smcmich1/icebridge/output/DEM_AN_20161112_V20180321.tar, /u/smcmich1/icebridge/ortho/ORTHO_AN_20161112_V20180321.tar, /u/smcmich1/icebridge/camera/CAMERA_AN_20161112_V20180321.tar, /u/smcmich1/icebridge/summaries/SUMMARY_AN_20161112_V20180321.tar, True, True
20161115, /u/smcmich1/icebridge/output/DEM_AN_20161115_V20180323.tar, /u/smcmich1/icebridge/ortho/ORTHO_AN_20161115_V20180323.tar, /u/smcmich1/icebridge/camera/CAMERA_AN_20161115_V20180323.tar, /u/smcmich1/icebridge/summaries/SUMMARY_AN_20161115_V20180323.tar, True, True
20161118, /u/smcmich1/icebridge/output/DEM_AN_20161118_V20180324.tar, /u/smcmich1/icebridge/ortho/ORTHO_AN_20161118_V20180324.tar, /u/smcmich1/icebridge/camera/CAMERA_AN_20161118_V20180324.tar, /u/smcmich1/icebridge/summaries/SUMMARY_AN_20161118_V20180324.tar, True, True
